sample_old,tot,het,period_2,period_3,period_4,period_5,period_6
R17021203LD01,32459,22534,19027,3320,7616,2163,333
R17021204LD01,32343,22453,19028,3300,7567,2140,308
R17021205LD01,32377,22549,19031,3342,7539,2132,333
R17021206LD01,32186,22402,18936,3257,7554,2106,333
R17021207LD01,32244,22414,18917,3303,7568,2149,307
R17021209LD01,32514,22617,19080,3290,7625,2177,342
R17021210LD01,32137,22298,18898,3304,7444,2155,336
R17021211LD01,32407,22550,18979,3302,7644,2149,333
R17021212LD01,32564,22617,19141,3332,7611,2153,327
R17021213LD01,32489,22547,19007,3280,7687,2172,343
